Date,CAD_Cash,USD_Cash,Total_CAD
2024-02-05,3669.8489999999993,-4528.58779504633,-2414.534981740331
2024-02-06,3669.8489999999993,-4528.58779504633,-2414.534981740331
2024-02-07,3669.8489999999993,-4528.58779504633,-2414.534981740331
2024-02-08,3669.8489999999993,-4528.58779504633,-2414.534981740331
2024-02-09,3669.8489999999993,-4527.62779504633,-2424.337813509773
2024-02-12,3669.8489999999993,-4527.62779504633,-2424.337813509773
2024-02-13,3669.8489999999993,-4527.62779504633,-2424.337813509773
2024-02-14,3669.8489999999993,-4527.62779504633,-2424.337813509773
2024-02-15,3669.8489999999993,-4527.62779504633,-2424.337813509773
2024-02-16,3669.8489999999993,-4514.72779504633,-2409.367240129396
2024-02-20,3669.8489999999993,-4514.72779504633,-2409.367240129396
2024-02-21,3669.8489999999993,-4476.85279504633,-2383.7066601748675
2024-02-22,3669.8489999999993,-4476.85279504633,-2383.7066601748675
2024-02-23,3857.249999999999,-4476.85279504633,-2178.1743329202254
2024-02-26,3857.249999999999,-4476.85279504633,-2178.1743329202254
2024-02-27,3857.249999999999,-4473.81279504633,-2182.9786988254755
2024-02-28,3862.706999999999,-4473.81279504633,-2191.122426610023
2024-02-29,3862.706999999999,-4473.81279504633,-2191.122426610023
2024-03-01,3862.706999999999,-4410.19679504633,-2123.56190730516
2024-03-04,3864.956999999999,-4410.19679504633,-2111.918048832588
2024-03-05,3864.956999999999,-4410.19679504633,-2111.918048832588
2024-03-06,3864.956999999999,-4410.19679504633,-2111.918048832588
2024-03-07,3864.956999999999,-4375.2017950463305,-2047.121756349326
2024-03-08,3864.956999999999,-4375.2017950463305,-2047.121756349326
2024-03-11,3864.956999999999,-4375.2017950463305,-2047.121756349326
2024-03-12,3864.956999999999,-4375.2017950463305,-2047.121756349326
2024-03-13,3864.956999999999,-4375.2017950463305,-2047.121756349326
2024-03-14,3883.168999999999,-4375.2017950463305,-2008.608893623521
2024-03-15,3883.168999999999,-4335.3267950463305,-1985.866431735244
